VenueType,Venue,Year,DOI,pages
Conference,ESEM,2017,10.1109/ESEM.2017.7,10
Conference,ESEM,2017,10.1109/ESEM.2017.8,9
Conference,ESEM,2017,10.1109/ESEM.2017.9,10
Conference,ESEM,2017,10.1109/ESEM.2017.10,8
Conference,ESEM,2017,10.1109/ESEM.2017.11,10
Conference,ESEM,2017,10.1109/ESEM.2017.27,10
Conference,ESEM,2017,10.1109/ESEM.2017.12,10
Conference,ESEM,2017,10.1109/ESEM.2017.13,10
Conference,ESEM,2017,10.1109/ESEM.2017.14,7
Conference,ESEM,2017,10.1109/ESEM.2017.15,10
Conference,ESEM,2017,10.1109/ESEM.2017.16,10
Conference,ESEM,2017,10.1109/ESEM.2017.17,6
Conference,ESEM,2017,10.1109/ESEM.2017.18,10
Conference,ESEM,2017,10.1109/ESEM.2017.19,10
Conference,ESEM,2017,10.1109/ESEM.2017.20,10
Conference,ESEM,2017,10.1109/ESEM.2017.21,10
Conference,ESEM,2017,10.1109/ESEM.2017.22,6
Conference,ESEM,2017,10.1109/ESEM.2017.23,6
Conference,ESEM,2017,10.1109/ESEM.2017.24,6
Conference,ESEM,2017,10.1109/ESEM.2017.25,6
Conference,ESEM,2017,10.1109/ESEM.2017.26,6
Conference,ESEM,2017,10.1109/ESEM.2017.28,6
Conference,ESEM,2017,10.1109/ESEM.2017.29,6
Conference,ESEM,2017,10.1109/ESEM.2017.30,6
Conference,ESEM,2017,10.1109/ESEM.2017.31,6
Conference,ESEM,2017,10.1109/ESEM.2017.32,6
Conference,ESEM,2017,10.1109/ESEM.2017.63,6
Conference,ESEM,2017,10.1109/ESEM.2017.33,6
Conference,ESEM,2017,10.1109/ESEM.2017.34,6
Conference,ESEM,2017,10.1109/ESEM.2017.35,6
Conference,ESEM,2017,10.1109/ESEM.2017.36,6
Conference,ESEM,2017,10.1109/ESEM.2017.37,6
Conference,ESEM,2017,10.1109/ESEM.2017.38,10
Conference,ESEM,2017,10.1109/ESEM.2017.39,10
Conference,ESEM,2017,10.1109/ESEM.2017.40,10
Conference,ESEM,2017,10.1109/ESEM.2017.41,10
Conference,ESEM,2017,10.1109/ESEM.2017.42,10
Conference,ESEM,2017,10.1109/ESEM.2017.43,10
Conference,ESEM,2017,10.1109/ESEM.2017.44,7
Conference,ESEM,2017,10.1109/ESEM.2017.45,10
Conference,ESEM,2017,10.1109/ESEM.2017.46,10
Conference,ESEM,2017,10.1109/ESEM.2017.47,10
Conference,ESEM,2017,10.1109/ESEM.2017.48,10
Conference,ESEM,2017,10.1109/ESEM.2017.49,10
Conference,ESEM,2017,10.1109/ESEM.2017.50,10
Conference,ESEM,2017,10.1109/ESEM.2017.51,10
Conference,ESEM,2017,10.1109/ESEM.2017.53,10
Conference,ESEM,2017,10.1109/ESEM.2017.54,10
Conference,ESEM,2017,10.1109/ESEM.2017.55,10
Conference,ESEM,2017,10.1109/ESEM.2017.56,10
Conference,ESEM,2017,10.1109/ESEM.2017.57,6
Conference,ESEM,2017,10.1109/ESEM.2017.58,6
Conference,ESEM,2017,10.1109/ESEM.2017.59,6
Conference,ESEM,2017,10.1109/ESEM.2017.52,6
Conference,ESEM,2017,10.1109/ESEM.2017.60,6
Conference,ESEM,2017,10.1109/ESEM.2017.61,6
Conference,ESEM,2017,10.1109/ESEM.2017.62,6
Conference,ESEM,2017,10.1109/ESEM.2017.69,6
Conference,ESEM,2017,10.1109/ESEM.2017.64,2
Conference,ESEM,2017,10.1109/ESEM.2017.65,2
Conference,ESEM,2017,10.1109/ESEM.2017.66,2
Conference,ESEM,2017,10.1109/ESEM.2017.67,2
Conference,ESEM,2017,10.1109/ESEM.2017.68,2
Conference,ESEM,2019,10.1109/ESEM.2019.8870150,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870188,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870156,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870167,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870183,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870185,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870169,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870165,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870186,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870154,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870147,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870158,12
Conference,ESEM,2019,10.1109/ESEM.2019.8870152,10
Conference,ESEM,2019,10.1109/ESEM.2019.8870163,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870179,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870175,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870141,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870189,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870155,12
Conference,ESEM,2019,10.1109/ESEM.2019.8870182,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870139,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870172,12
Conference,ESEM,2019,10.1109/ESEM.2019.8870140,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870190,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870171,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870142,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870181,12
Conference,ESEM,2019,10.1109/ESEM.2019.8870177,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870191,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870168,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870176,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870162,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870173,11
Conference,ESEM,2019,10.1109/ESEM.2019.8870151,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870178,12
Conference,ESEM,2019,10.1109/ESEM.2019.8870144,12
Conference,ESEM,2019,10.1109/ESEM.2019.8870161,12
Conference,ESEM,2019,10.1109/ESEM.2019.8870170,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870184,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870153,12
Conference,ESEM,2019,10.1109/ESEM.2019.8870160,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870159,5
Conference,ESEM,2019,10.1109/ESEM.2019.8870174,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870157,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870180,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870148,6
Conference,ESEM,2019,10.1109/ESEM.2019.8870187,11
Conference,ESEM,2021,10.1145/3475716.3475769,11
Conference,ESEM,2021,10.1145/3475716.3475770,12
Conference,ESEM,2021,10.1145/3475716.3475771,11
Conference,ESEM,2021,10.1145/3475716.3475772,11
Conference,ESEM,2021,10.1145/3475716.3475773,11
Conference,ESEM,2021,10.1145/3475716.3475774,11
Conference,ESEM,2021,10.1145/3475716.3475775,11
Conference,ESEM,2021,10.1145/3475716.3475776,12
Conference,ESEM,2021,10.1145/3475716.3475777,11
Conference,ESEM,2021,10.1145/3475716.3475778,12
Conference,ESEM,2021,10.1145/3475716.3475779,11
Conference,ESEM,2021,10.1145/3475716.3475780,10
Conference,ESEM,2021,10.1145/3475716.3475781,12
Conference,ESEM,2021,10.1145/3475716.3475782,11
Conference,ESEM,2021,10.1145/3475716.3475783,12
Conference,ESEM,2021,10.1145/3475716.3475784,11
Conference,ESEM,2021,10.1145/3475716.3475785,12
Conference,ESEM,2021,10.1145/3475716.3475786,12
Conference,ESEM,2021,10.1145/3475716.3475787,11
Conference,ESEM,2021,10.1145/3475716.3475788,12
Conference,ESEM,2021,10.1145/3475716.3475789,12
Conference,ESEM,2021,10.1145/3475716.3475790,12
Conference,ESEM,2021,10.1145/3475716.3475791,12
Conference,ESEM,2021,10.1145/3475716.3475792,11
Conference,ESEM,2022,10.1145/3544902.3546233,12
Conference,ESEM,2022,10.1145/3544902.3546234,11
Conference,ESEM,2022,10.1145/3544902.3546235,11
Conference,ESEM,2022,10.1145/3544902.3546236,11
Conference,ESEM,2022,10.1145/3544902.3546237,11
Conference,ESEM,2022,10.1145/3544902.3546238,12
Conference,ESEM,2022,10.1145/3544902.3546239,11
Conference,ESEM,2022,10.1145/3544902.3546240,11
Conference,ESEM,2022,10.1145/3544902.3546241,11
Conference,ESEM,2022,10.1145/3544902.3546242,11
Conference,ESEM,2022,10.1145/3544902.3546243,12
Conference,ESEM,2022,10.1145/3544902.3546244,11
Conference,ESEM,2022,10.1145/3544902.3546245,12
Conference,ESEM,2022,10.1145/3544902.3546246,12
Conference,ESEM,2022,10.1145/3544902.3546247,11
Conference,ESEM,2022,10.1145/3544902.3546248,11
Conference,ESEM,2022,10.1145/3544902.3546249,11
Conference,ESEM,2022,10.1145/3544902.3546250,11
Conference,ESEM,2022,10.1145/3544902.3546251,12
Conference,ESEM,2022,10.1145/3544902.3546252,11
Conference,ESEM,2022,10.1145/3544902.3546253,11
Conference,ESEM,2022,10.1145/3544902.3546254,10
Conference,ESEM,2022,10.1145/3544902.3546256,12
Conference,ESEM,2022,10.1145/3544902.3546257,11
Conference,ICSE,2018,10.1145/3180155.3180156,12
Conference,ICSE,2018,10.1145/3180155.3180157,12
Conference,ICSE,2018,10.1145/3180155.3180158,11
Conference,ICSE,2018,10.1145/3180155.3180159,12
Conference,ICSE,2018,10.1145/3180155.3180160,11
Conference,ICSE,2018,10.1145/3180155.3180161,12
Conference,ICSE,2018,10.1145/3180155.3180162,11
Conference,ICSE,2018,10.1145/3180155.3180163,12
Conference,ICSE,2018,10.1145/3180155.3180164,12
Conference,ICSE,2018,10.1145/3180155.3180165,11
Conference,ICSE,2018,10.1145/3180155.3180166,11
Conference,ICSE,2018,10.1145/3180155.3180167,12
Conference,ICSE,2018,10.1145/3180155.3180168,11
Conference,ICSE,2018,10.1145/3180155.3180169,11
Conference,ICSE,2018,10.1145/3180155.3180170,11
Conference,ICSE,2018,10.1145/3180155.3180171,12
Conference,ICSE,2018,10.1145/3180155.3180172,12
Conference,ICSE,2018,10.1145/3180155.3180173,11
Conference,ICSE,2018,10.1145/3180155.3180174,11
Conference,ICSE,2018,10.1145/3180155.3180175,12
Conference,ICSE,2018,10.1145/3180155.3180176,11
Conference,ICSE,2018,10.1145/3180155.3180177,12
Conference,ICSE,2018,10.1145/3180155.3180178,11
Conference,ICSE,2018,10.1145/3180155.3180179,12
Conference,ICSE,2018,10.1145/3180155.3180180,12
Conference,ICSE,2018,10.1145/3180155.3180181,12
Conference,ICSE,2018,10.1145/3180155.3180182,11
Conference,ICSE,2018,10.1145/3180155.3180183,12
Conference,ICSE,2018,10.1145/3180155.3180184,11
Conference,ICSE,2018,10.1145/3180155.3180185,11
Conference,ICSE,2018,10.1145/3180155.3180186,12
Conference,ICSE,2018,10.1145/3180155.3180187,12
Conference,ICSE,2018,10.1145/3180155.3180188,11
Conference,ICSE,2018,10.1145/3180155.3180189,11
Conference,ICSE,2018,10.1145/3180155.3180190,12
Conference,ICSE,2018,10.1145/3180155.3180191,12
Conference,ICSE,2018,10.1145/3180155.3180192,11
Conference,ICSE,2018,10.1145/3180155.3180193,11
Conference,ICSE,2018,10.1145/3180155.3180194,11
Conference,ICSE,2018,10.1145/3180155.3180195,11
Conference,ICSE,2018,10.1145/3180155.3180196,11
Conference,ICSE,2018,10.1145/3180155.3180197,12
Conference,ICSE,2018,10.1145/3180155.3180198,11
Conference,ICSE,2018,10.1145/3180155.3180199,11
Conference,ICSE,2018,10.1145/3180155.3180200,12
Conference,ICSE,2018,10.1145/3180155.3180201,12
Conference,ICSE,2018,10.1145/3180155.3180202,11
Conference,ICSE,2018,10.1145/3180155.3180203,12
Conference,ICSE,2018,10.1145/3180155.3180204,11
Conference,ICSE,2018,10.1145/3180155.3180205,12
Conference,ICSE,2018,10.1145/3180155.3180206,12
Conference,ICSE,2018,10.1145/3180155.3180207,12
Conference,ICSE,2018,10.1145/3180155.3180208,11
Conference,ICSE,2018,10.1145/3180155.3180209,12
Conference,ICSE,2018,10.1145/3180155.3180210,11
Conference,ICSE,2018,10.1145/3180155.3180211,11
Conference,ICSE,2018,10.1145/3180155.3180212,12
Conference,ICSE,2018,10.1145/3180155.3180213,11
Conference,ICSE,2018,10.1145/3180155.3180214,12
Conference,ICSE,2018,10.1145/3180155.3180215,12
Conference,ICSE,2018,10.1145/3180155.3180216,12
Conference,ICSE,2018,10.1145/3180155.3180217,12
Conference,ICSE,2018,10.1145/3180155.3180218,11
Conference,ICSE,2018,10.1145/3180155.3180219,11
Conference,ICSE,2018,10.1145/3180155.3180220,12
Conference,ICSE,2018,10.1145/3180155.3180221,12
Conference,ICSE,2018,10.1145/3180155.3180222,12
Conference,ICSE,2018,10.1145/3180155.3180223,11
Conference,ICSE,2018,10.1145/3180155.3180224,11
Conference,ICSE,2018,10.1145/3180155.3180225,11
Conference,ICSE,2018,10.1145/3180155.3180226,12
Conference,ICSE,2018,10.1145/3180155.3180227,11
Conference,ICSE,2018,10.1145/3180155.3180228,11
Conference,ICSE,2018,10.1145/3180155.3180229,11
Conference,ICSE,2018,10.1145/3180155.3180230,11
Conference,ICSE,2018,10.1145/3180155.3180231,12
Conference,ICSE,2018,10.1145/3180155.3180232,11
Conference,ICSE,2018,10.1145/3180155.3180233,11
Conference,ICSE,2018,10.1145/3180155.3180234,11
Conference,ICSE,2018,10.1145/3180155.3180235,12
Conference,ICSE,2018,10.1145/3180155.3180236,11
Conference,ICSE,2018,10.1145/3180155.3180237,11
Conference,ICSE,2018,10.1145/3180155.3180238,11
Conference,ICSE,2018,10.1145/3180155.3180239,11
Conference,ICSE,2018,10.1145/3180155.3180222,12
Conference,ICSE,2018,10.1145/3180155.3180241,12
Conference,ICSE,2018,10.1145/3180155.3180242,11
Conference,ICSE,2018,10.1145/3180155.3180243,12
Conference,ICSE,2018,10.1145/3180155.3180244,12
Conference,ICSE,2018,10.1145/3180155.3180245,12
Conference,ICSE,2018,10.1145/3180155.3180246,11
Conference,ICSE,2018,10.1145/3180155.3180247,11
Conference,ICSE,2018,10.1145/3180155.3180248,11
Conference,ICSE,2018,10.1145/3180155.3180249,11
Conference,ICSE,2018,10.1145/3180155.3180250,12
Conference,ICSE,2018,10.1145/3180155.3180251,11
Conference,ICSE,2018,10.1145/3180155.3180252,12
Conference,ICSE,2018,10.1145/3180155.3180253,12
Conference,ICSE,2018,10.1145/3180155.3180254,12
Conference,ICSE,2018,10.1145/3180155.3180257,12
Conference,ICSE,2018,10.1145/3180155.3180258,12
Conference,ICSE,2018,10.1145/3180155.3180259,12
Conference,ICSE,2018,10.1145/3180155.3180260,11
Conference,ICSE,2018,10.1145/3180155.3180261,11
Conference,ICSE,2018,10.1145/3180155.3180262,11
Conference,ICSE,2018,10.1145/3180155.3182511,1
Conference,ICSE,2018,10.1145/3180155.3182512,1
Conference,ICSE,2018,10.1145/3180155.3182513,1
Conference,ICSE,2018,10.1145/3180155.3182514,1
Conference,ICSE,2018,10.1109/TSE.2017.2754374,1
Conference,ICSE,2018,10.1145/3180155.3182516,1
Conference,ICSE,2018,10.1145/3180155.3182517,1
Conference,ICSE,2018,10.1007/s10664-017-9551-z,1
Conference,ICSE,2018,10.1145/3180155.3182519,1
Conference,ICSE,2018,10.1145/3180155.3182520,1
Conference,ICSE,2018,10.1145/3180155.3182521,1
Conference,ICSE,2018,10.1109/TSE.2017.2757480,1
Conference,ICSE,2018,10.1145/3180155.3182523,1
Conference,ICSE,2018,10.1109/TSE.2017.2757486,1
Conference,ICSE,2018,10.1109/TSE.2017.2768368,1
Conference,ICSE,2018,10.1145/3180155.3182526,1
Conference,ICSE,2018,10.1145/3180155.3182527,1
Conference,ICSE,2018,10.1109/TSE.2017.2764464,1
Conference,ICSE,2018,10.1109/TSE.2017.2774832,1
Conference,ICSE,2018,10.1145/3180155.3182530,1
Conference,ICSE,2018,10.1007/s10664-017-9517-1,1
Conference,ICSE,2018,10.1145/3180155.3182532,1
Conference,ICSE,2018,10.1007/s10664-017-9550-0,1
Conference,ICSE,2018,10.1007/s10664-017-9503-7,1
Conference,ICSE,2018,10.1007/s10664-017-9576-3,1
Conference,ICSE,2018,10.1145/3180155.3182536,1
Conference,ICSE,2018,10.1145/3180155.3182537,1
Conference,ICSE,2018,10.1109/TSE.2017.2734091,1
Conference,ICSE,2018,10.1109/TSE.2017.2716925,1
Conference,ICSE,2018,10.1007/978-3-642-35813-5_1,1
Conference,ICSE,2018,10.1145/3180155.3182541,1
Conference,ICSE,2018,10.1109/ESEM.2009.5316002,1
Conference,ICSE,2018,10.1109/TSE.2017.2755039,1
Conference,ICSE,2018,10.1145/3180155.3182544,1
Conference,ICSE,2018,10.1145/3180155.3182545,1
Conference,ICSE,2018,10.1145/3180155.3182546,1
Conference,ICSE,2018,10.1007/s10664-017-9565-6,2
Conference,ICSE,2018,10.1145/3180155.3182548,1
Conference,ICSE,2018,10.1145/3180155.3182549,1
Conference,ICSE,2018,10.1145/3180155.3182550,1
Conference,ICSE,2018,10.1145/3180155.3182551,1
Conference,ICSE,2018,10.1109/TSE.2017.2776912,1
Conference,ICSE,2018,10.1007/s10664-017-9541-1,1
Conference,ICSE,2018,10.1007/s10664-017-9579-0,1
Conference,ICSE,2018,10.1145/3180155.3182555,1
Conference,ICSE,2018,10.1007/s10664-017-9574-5,1
Conference,ICSE,2018,10.1007/s10664-017-9556-7,1
Conference,ICSE,2018,10.1145/3180155.3190833,1
Conference,ICSE,2019,10.1109/ICSE.2019.00045,12
Conference,ICSE,2019,10.1109/ICSE.2019.00047,11
Conference,ICSE,2019,10.1109/ICSE.2019.00094,11
Conference,ICSE,2019,10.1109/ICSE.2019.00043,11
Conference,ICSE,2019,10.1109/ICSE.2019.00120,11
Conference,ICSE,2019,10.1109/ICSE.2019.00021,12
Conference,ICSE,2019,10.1109/ICSE.2019.00110,12
Conference,ICSE,2019,10.1109/ICSE.2019.00090,12
Conference,ICSE,2019,10.1109/ICSE.2019.00095,11
Conference,ICSE,2019,10.1109/ICSE.2019.00028,11
Conference,ICSE,2019,10.1109/ICSE.2019.00081,12
Conference,ICSE,2019,10.1109/ICSE.2019.00072,12
Conference,ICSE,2019,10.1109/ICSE.2019.00038,11
Conference,ICSE,2019,10.1109/ICSE.2019.00102,11
Conference,ICSE,2019,10.1109/ICSE.2019.00105,11
Conference,ICSE,2019,10.1109/ICSE.2019.00122,12
Conference,ICSE,2019,10.1109/ICSE.2019.00087,12
Conference,ICSE,2019,10.1109/ICSE.2019.00123,11
Conference,ICSE,2019,10.1109/ICSE.2019.00058,11
Conference,ICSE,2019,10.1109/ICSE.2019.00022,12
Conference,ICSE,2019,10.1109/ICSE.2019.00030,12
Conference,ICSE,2019,10.1109/ICSE.2019.00032,12
Conference,ICSE,2019,10.1109/ICSE.2019.00073,12
Conference,ICSE,2019,10.1109/ICSE.2019.00082,12
Conference,ICSE,2019,10.1109/ICSE.2019.00084,12
Conference,ICSE,2019,10.1109/ICSE.2019.00118,11
Conference,ICSE,2019,10.1109/ICSE.2019.00029,12
Conference,ICSE,2019,10.1109/ICSE.2019.00114,12
Conference,ICSE,2019,10.1109/ICSE.2019.00127,12
Conference,ICSE,2019,10.1109/ICSE.2019.00066,12
Conference,ICSE,2019,10.1109/ICSE.2019.00083,11
Conference,ICSE,2019,10.1109/ICSE.2019.00099,12
Conference,ICSE,2019,10.1109/ICSE.2019.00103,12
Conference,ICSE,2019,10.1109/ICSE.2019.00071,11
Conference,ICSE,2019,10.1109/ICSE.2019.00023,11
Conference,ICSE,2019,10.1109/ICSE.2019.00091,11
Conference,ICSE,2019,10.1109/ICSE.2019.00075,12
Conference,ICSE,2019,10.1109/ICSE.2019.00040,11
Conference,ICSE,2019,10.1109/ICSE.2019.00051,11
Conference,ICSE,2019,10.1109/ICSE.2019.00096,12
Conference,ICSE,2019,10.1109/ICSE.2019.00113,12
Conference,ICSE,2019,10.1109/ICSE.2019.00046,12
Conference,ICSE,2019,10.1109/ICSE.2019.00024,12
Conference,ICSE,2019,10.1109/ICSE.2019.00054,11
Conference,ICSE,2019,10.1109/ICSE.2019.00119,11
Conference,ICSE,2019,10.1109/ICSE.2019.00039,12
Conference,ICSE,2019,10.1109/ICSE.2019.00111,11
Conference,ICSE,2019,10.1109/ICSE.2019.00121,12
Conference,ICSE,2019,10.1109/ICSE.2019.00062,12
Conference,ICSE,2019,10.1109/ICSE.2019.00033,12
Conference,ICSE,2019,10.1109/ICSE.2019.00065,12
Conference,ICSE,2019,10.1109/ICSE.2019.00070,12
Conference,ICSE,2019,10.1109/ICSE.2019.00078,12
Conference,ICSE,2019,10.1109/ICSE.2019.00059,11
Conference,ICSE,2019,10.1109/ICSE.2019.00126,12
Conference,ICSE,2019,10.1109/ICSE.2019.00055,11
Conference,ICSE,2019,10.1109/ICSE.2019.00112,11
Conference,ICSE,2019,10.1109/ICSE.2019.00098,12
Conference,ICSE,2019,10.1109/ICSE.2019.00109,11
Conference,ICSE,2019,10.1109/ICSE.2019.00064,12
Conference,ICSE,2019,10.1109/ICSE.2019.00106,11
Conference,ICSE,2019,10.1109/ICSE.2019.00088,12
Conference,ICSE,2019,10.1109/ICSE.2019.00117,12
Conference,ICSE,2019,10.1109/ICSE.2019.00086,12
Conference,ICSE,2019,10.1109/ICSE.2019.00077,11
Conference,ICSE,2019,10.1109/ICSE.2019.00108,11
Conference,ICSE,2019,10.1109/ICSE.2019.00035,12
